index,path,bank,size,census_blob_sha1,actual_blob_sha1,blob_match,status,detail,elapsed_ms,engine_commit,sample_rate
27,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Flugelhorn.fxp,contributor,35150,7aa486688087f04a236ef7c8cc4a2b20150b2e7b,7aa486688087f04a236ef7c8cc4a2b20150b2e7b,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
28,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/French Horn Ensemble.fxp,contributor,45327,770fd20523d0fec9c869c9323d78f522f375a85c,770fd20523d0fec9c869c9323d78f522f375a85c,True,ok,,6,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
29,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/French Horn.fxp,contributor,35190,98fa0c8bf8120696e0133c82e213f1db19ae0baf,98fa0c8bf8120696e0133c82e213f1db19ae0baf,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
30,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trombone Ensemble.fxp,contributor,67683,7b7c03f9575bce4935601982999c02e90cce158e,7b7c03f9575bce4935601982999c02e90cce158e,True,ok,,8,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
31,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trombone.fxp,contributor,35178,cf374b866217a1f123915a99d2f9f413302abf9c,cf374b866217a1f123915a99d2f9f413302abf9c,True,ok,,9,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
32,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trumpet Ensemble.fxp,contributor,49719,c8cc14ca1915d55f60355c1a26b331e560536c85,c8cc14ca1915d55f60355c1a26b331e560536c85,True,ok,,9,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
33,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Trumpet.fxp,contributor,35861,e90de18aa5e3b4e0a86e40a7ad0a6cc4bba73397,e90de18aa5e3b4e0a86e40a7ad0a6cc4bba73397,True,ok,,4,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
34,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Tuba Ensemble.fxp,contributor,35204,6ce0c761c0f42de8d1d5fe3503e4b91c9dc6edd1,6ce0c761c0f42de8d1d5fe3503e4b91c9dc6edd1,True,ok,,11,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
35,resources/data/patches_3rdparty/Aleksey Zhehanov/Brass/Tuba.fxp,contributor,34520,7a201f308f404291d8a773f5c575578b54517b96,7a201f308f404291d8a773f5c575578b54517b96,True,ok,,6,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
36,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Brush Snare.fxp,contributor,35721,aee7d4157acb8236e4ae006f6ea4ef2e72cea5d0,aee7d4157acb8236e4ae006f6ea4ef2e72cea5d0,True,ok,,8,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
37,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Crash.fxp,contributor,36270,bddc3398b7737601bbd9fb6d2d25e7ee7dce9774,bddc3398b7737601bbd9fb6d2d25e7ee7dce9774,True,ok,,6,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
38,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Hi-Hat.fxp,contributor,34978,3fe7bfa88faeb24203d8a57b08d8fac3030dc08e,3fe7bfa88faeb24203d8a57b08d8fac3030dc08e,True,ok,,5,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
39,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Kick Drum.fxp,contributor,34475,884146764ede760e65abe8ac846d63dcb0910270,884146764ede760e65abe8ac846d63dcb0910270,True,ok,,7,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
40,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Reverse Cymbal.fxp,contributor,35728,2024363e48a47d5b56845299ac0dfac12684d1ef,2024363e48a47d5b56845299ac0dfac12684d1ef,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
41,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Ride.fxp,contributor,36106,eaabad1c97c2bb0c8da68b120cb21677ad6e6344,eaabad1c97c2bb0c8da68b120cb21677ad6e6344,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
42,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Snare Drum.fxp,contributor,36380,14ebdeda2ec2220ba66ae9610d064aabdf4633e9,14ebdeda2ec2220ba66ae9610d064aabdf4633e9,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
43,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Tom.fxp,contributor,35395,310c0420a0cd36c3e094fc2993154f7a9c385f43,310c0420a0cd36c3e094fc2993154f7a9c385f43,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
44,resources/data/patches_3rdparty/Aleksey Zhehanov/Drums/Wood Percussion.fxp,contributor,34468,e75d4e6757b6432272cbb8a9cb2897b5117059cf,e75d4e6757b6432272cbb8a9cb2897b5117059cf,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
45,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Acoustic Guitar.fxp,contributor,39559,ec8c9c563f78744747945d12694b6c332b575fdf,ec8c9c563f78744747945d12694b6c332b575fdf,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
46,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Bright Steel String.fxp,contributor,42166,aa03b95dbc5848ba7563e8a9cd74348bedc6471f,aa03b95dbc5848ba7563e8a9cd74348bedc6471f,True,ok,,4,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
47,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Distortion Velo.fxp,contributor,37382,3d8d75c090dd38ab7b4adeaf844622b5d1279df8,3d8d75c090dd38ab7b4adeaf844622b5d1279df8,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
48,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Electric Guitar.fxp,contributor,38737,bc6a7d60cb951af59c30686ba4f15ff7de3d56d6,bc6a7d60cb951af59c30686ba4f15ff7de3d56d6,True,ok,,3,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
49,resources/data/patches_3rdparty/Aleksey Zhehanov/Guitars/Muted Electric Guitar.fxp,contributor,136665,597470224470af338eca76937d58c5785df901e8,597470224470af338eca76937d58c5785df901e8,True,ok,,10,58914e59c608ed4384ba6002e44c3465c58b2e71,48000
